folder,filename,height,width,channels
../data/raw-img/cane/splitted_images,file-0-left-upper-corner,150,112,3
../data/raw-img/cane/splitted_images,file-0-left-lower-corner,150,112,3
../data/raw-img/cane/splitted_images,file-0-right-upper-corner,150,113,3
../data/raw-img/cane/splitted_images,file-0-right-lower-corner,150,113,3
../data/raw-img/cane/splitted_images,file-1-left-upper-corner,112,150,3
../data/raw-img/cane/splitted_images,file-1-left-lower-corner,113,150,3
../data/raw-img/cane/splitted_images,file-1-right-upper-corner,112,150,3
../data/raw-img/cane/splitted_images,file-1-right-lower-corner,113,150,3
../data/raw-img/cane/splitted_images,file-2-left-upper-corner,112,150,3
../data/raw-img/cane/splitted_images,file-2-left-lower-corner,113,150,3
../data/raw-img/cane/splitted_images,file-2-right-upper-corner,112,150,3
../data/raw-img/cane/splitted_images,file-2-right-lower-corner,113,150,3
../data/raw-img/cane/splitted_images,file-3-left-upper-corner,84,150,3
../data/raw-img/cane/splitted_images,file-3-left-lower-corner,85,150,3
../data/raw-img/cane/splitted_images,file-3-right-upper-corner,84,150,3
../data/raw-img/cane/splitted_images,file-3-right-lower-corner,85,150,3
../data/raw-img/cane/splitted_images,file-4-left-upper-corner,145,150,3
../data/raw-img/cane/splitted_images,file-4-left-lower-corner,146,150,3
../data/raw-img/cane/splitted_images,file-4-right-upper-corner,145,150,3
../data/raw-img/cane/splitted_images,file-4-right-lower-corner,146,150,3
../data/raw-img/cane/splitted_images,file-5-left-upper-corner,119,150,3
../data/raw-img/cane/splitted_images,file-5-left-lower-corner,119,150,3
../data/raw-img/cane/splitted_images,file-5-right-upper-corner,119,150,3
../data/raw-img/cane/splitted_images,file-5-right-lower-corner,119,150,3
../data/raw-img/cane/splitted_images,file-6-left-upper-corner,116,150,3
../data/raw-img/cane/splitted_images,file-6-left-lower-corner,117,150,3
../data/raw-img/cane/splitted_images,file-6-right-upper-corner,116,150,3
../data/raw-img/cane/splitted_images,file-6-right-lower-corner,117,150,3
../data/raw-img/cane/splitted_images,file-7-left-upper-corner,150,113,3
../data/raw-img/cane/splitted_images,file-7-left-lower-corner,150,113,3
../data/raw-img/cane/splitted_images,file-7-right-upper-corner,150,113,3
../data/raw-img/cane/splitted_images,file-7-right-lower-corner,150,113,3
../data/raw-img/cane/splitted_images,file-8-left-upper-corner,85,150,3
../data/raw-img/cane/splitted_images,file-8-left-lower-corner,85,150,3
../data/raw-img/cane/splitted_images,file-8-right-upper-corner,85,150,3
../data/raw-img/cane/splitted_images,file-8-right-lower-corner,85,150,3
../data/raw-img/cane/splitted_images,file-9-left-upper-corner,100,150,3
../data/raw-img/cane/splitted_images,file-9-left-lower-corner,100,150,3
../data/raw-img/cane/splitted_images,file-9-right-upper-corner,100,150,3
../data/raw-img/cane/splitted_images,file-9-right-lower-corner,100,150,3
../data/raw-img/scoiatollo/splitted_images,file-0-left-upper-corner,94,150,3
../data/raw-img/scoiatollo/splitted_images,file-0-left-lower-corner,94,150,3
../data/raw-img/scoiatollo/splitted_images,file-0-right-upper-corner,94,150,3
../data/raw-img/scoiatollo/splitted_images,file-0-right-lower-corner,94,150,3
../data/raw-img/scoiatollo/splitted_images,file-1-left-upper-corner,100,150,3
../data/raw-img/scoiatollo/splitted_images,file-1-left-lower-corner,100,150,3
../data/raw-img/scoiatollo/splitted_images,file-1-right-upper-corner,100,150,3
../data/raw-img/scoiatollo/splitted_images,file-1-right-lower-corner,100,150,3
../data/raw-img/scoiatollo/splitted_images,file-2-left-upper-corner,115,150,3
../data/raw-img/scoiatollo/splitted_images,file-2-left-lower-corner,115,150,3
../data/raw-img/scoiatollo/splitted_images,file-2-right-upper-corner,115,150,3
../data/raw-img/scoiatollo/splitted_images,file-2-right-lower-corner,115,150,3
../data/raw-img/scoiatollo/splitted_images,file-3-left-upper-corner,112,150,3
../data/raw-img/scoiatollo/splitted_images,file-3-left-lower-corner,113,150,3
../data/raw-img/scoiatollo/splitted_images,file-3-right-upper-corner,112,150,3
../data/raw-img/scoiatollo/splitted_images,file-3-right-lower-corner,113,150,3
../data/raw-img/scoiatollo/splitted_images,file-4-left-upper-corner,112,150,3
../data/raw-img/scoiatollo/splitted_images,file-4-left-lower-corner,113,150,3
../data/raw-img/scoiatollo/splitted_images,file-4-right-upper-corner,112,150,3
../data/raw-img/scoiatollo/splitted_images,file-4-right-lower-corner,113,150,3
../data/raw-img/scoiatollo/splitted_images,file-5-left-upper-corner,112,150,3
../data/raw-img/scoiatollo/splitted_images,file-5-left-lower-corner,113,150,3
../data/raw-img/scoiatollo/splitted_images,file-5-right-upper-corner,112,150,3
../data/raw-img/scoiatollo/splitted_images,file-5-right-lower-corner,113,150,3
../data/raw-img/scoiatollo/splitted_images,file-6-left-upper-corner,94,150,3
../data/raw-img/scoiatollo/splitted_images,file-6-left-lower-corner,94,150,3
../data/raw-img/scoiatollo/splitted_images,file-6-right-upper-corner,94,150,3
../data/raw-img/scoiatollo/splitted_images,file-6-right-lower-corner,94,150,3
../data/raw-img/scoiatollo/splitted_images,file-7-left-upper-corner,140,150,3
../data/raw-img/scoiatollo/splitted_images,file-7-left-lower-corner,141,150,3
../data/raw-img/scoiatollo/splitted_images,file-7-right-upper-corner,140,150,3
../data/raw-img/scoiatollo/splitted_images,file-7-right-lower-corner,141,150,3
../data/raw-img/scoiatollo/splitted_images,file-8-left-upper-corner,100,150,3
